0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:21 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=content.jsp HTTP/1.1" 200 7678
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:32 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:32 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=reservation.jsp HTTP/1.1" 200 7000
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:34:32 +0900] "GET /MyWebSite/css/reservation.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:35:56 +0900] "POST /MyWebSite/reservation/reservation_control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:35:56 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=reservationProcess1.jsp HTTP/1.1" 200 10522
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:37:49 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=ssearch&schedule_no=13101102042 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:37:49 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=reservationProcess2.jsp HTTP/1.1" 200 6779
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:39:17 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=economy.jsp HTTP/1.1" 200 36496
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:39:17 +0900] "GET /MyWebSite/css/seat.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:39:20 +0900] "POST /MyWebSite/reservation/reservation_control.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:39:20 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=reservationProcess2.jsp HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:42:03 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=search HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:42:03 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=reservation.jsp HTTP/1.1" 200 7002
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:42:05 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=information.jsp HTTP/1.1" 200 8115
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:57:14 +0900] "GET /MyWebSite/reservation/reservation_control.jsp?action=myPage HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [08/Dec/2021:22:57:14 +0900] "GET /MyWebSite/index.jsp?CONTENTPAGE=myPage.jsp HTTP/1.1" 200 6505
